,zipcode,street_address,person_recovered_from_race,ucr_category
20,40202,600_W_Jefferson_St,White,Burglary
22,40214,4200_S_2nd_St,Black,Narcotics
23,40214,4500_S_6th_St,White,Wpns_Law_Violation
24,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
25,40205,2500_Alanmede_Rd,White,Wpns_Law_Violation
26,40216,3700_Oboe_Dr,Black,Aggravated_Assault
27,40228,5200_Shepherdsville_Rd,Black,Wpns_Law_Violation
28,40206,1500_Frankfort_Ave,,Aggravated_Assault
29,40202,600_W_Jefferson_St,White,Wpns_Law_Violation
33,40203,100_W_Oak_St,Black,Aggravated_Assault
34,40203,1300_S_7th_St,Black,Narcotics
37,40203,1300_S_7th_St,Black,Narcotics
40,40203,1300_S_7th_St,Black,Narcotics
43,40212,2200_W_Market_St,Black,Wpns_Law_Violation
44,40213,3100_Lakeheath_Dr,Black,Wpns_Law_Violation
47,40213,3100_Lakeheath_Dr,Black,Wpns_Law_Violation
50,40213,3100_Lakeheath_Dr,Black,Wpns_Law_Violation
53,,600_W_Jefferson_St,,Wpns_Law_Violation
54,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
55,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
56,40215,800_Brentwood_Ave,White,Wpns_Law_Violation
58,40215,800_Brentwood_Ave,White,Wpns_Law_Violation
60,40202,600_W_Jefferson_St,Black,Aggravated_Assault
61,40229,9500_Yellow_Pine_Ct,White,Narcotics
64,40272,11600_Semillon_Ln,White,Narcotics
65,40202,600_W_Jefferson_St,Black,Aggravated_Assault
66,40203,700_Roselane_St,Black,Wpns_Law_Violation
70,40215,3400_Taylor_Blvd,Black,Wpns_Law_Violation
71,40202,600_W_Jefferson_St,Black,Stolen_Property
73,40202,600_W_Jefferson_St,Black,Stolen_Property
75,40272,9600_El_Prado_St,White,Wpns_Law_Violation
77,40216,4200_Poppy_Ave,White,Wpns_Law_Violation
80,40210,1500_S_12th_St,Black,Wpns_Law_Violation
81,40272,2500_Montpelier_Ct,White,Aggravated_Assault
82,40212,400_N_29th_St,Black,Robbery
83,40202,600_W_Jefferson_St,White,Aggravated_Assault
85,40202,600_W_Jefferson_St,White,Aggravated_Assault
87,40202,600_W_Jefferson_St,Black,Vandalism
89,40202,600_W_Jefferson_St,Black,Vandalism
92,40215,1500_Longfield_Ave,White,Narcotics
93,40215,3700_Lentz_Ave,Black,Aggravated_Assault
94,40202,600_W_Jefferson_St,,Narcotics
99,40202,600_W_Jefferson_St,,Narcotics
104,40202,600_W_Jefferson_St,,Narcotics
109,40202,600_W_Jefferson_St,,Narcotics
114,40202,600_W_Jefferson_St,,Narcotics
119,40211,0_Grand_Avenue_Ct,Black,Wpns_Law_Violation
120,40210,1700_Wilart_Dr,Black,Wpns_Law_Violation
121,40272,5400_Crambrook_Ave,White,Aggravated_Assault
122,40207,600_Mallard_Creek_Rd,Black,Narcotics
123,40202,600_W_Jefferson_St,,Auto_Theft
126,40211,1200_Southwestern_Pky,Black,Narcotics
127,40203,300_S_10th_St,Black,Wpns_Law_Violation
128,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
134,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
140,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
146,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
152,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
158,40215,3500_Parthenia_Ave,Black,Wpns_Law_Violation
